code,description,category,suggested_fee,effective_date
11101,Exam recall,preventive,78.00,2025-01-01
11102,Exam complete,preventive,120.00,2025-01-01
11111,Scaling first unit,preventive,55.00,2025-01-01
11117,Scaling additional unit,preventive,55.00,2025-01-01
01201,Radiograph periapical 1 film,diagnostic,25.00,2025-01-01
02202,Radiographs periapical 2 films,diagnostic,42.00,2025-01-01
02101,Radiograph bitewing 1 film,diagnostic,28.00,2025-01-01
02102,Radiographs bitewing 2 films,diagnostic,45.00,2025-01-01
12101,Fluoride treatment child,preventive,30.00,2025-01-01
12111,Fluoride treatment adult,preventive,35.00,2025-01-01
21111,Amalgam 1 surface,restorative,125.00,2025-01-01
21112,Amalgam 2 surfaces,restorative,160.00,2025-01-01
23111,Composite 1 surface anterior,restorative,150.00,2025-01-01
23112,Composite 2 surfaces anterior,restorative,190.00,2025-01-01
23211,Composite 1 surface posterior,restorative,165.00,2025-01-01
23212,Composite 2 surfaces posterior,restorative,210.00,2025-01-01
33111,Pulpotomy,endodontic,175.00,2025-01-01
33211,Root canal anterior,endodontic,550.00,2025-01-01
33212,Root canal premolar,endodontic,700.00,2025-01-01
43411,Gingivectomy per tooth,periodontic,150.00,2025-01-01
43421,Root planing per quadrant,periodontic,195.00,2025-01-01
43427,Root planing 3+ quadrants,periodontic,185.00,2025-01-01
27201,Crown porcelain,prosthodontic,1100.00,2025-01-01
27211,Crown metal,prosthodontic,950.00,2025-01-01
71101,Extraction erupted tooth,oral_surgery,125.00,2025-01-01
71201,Extraction surgical,oral_surgery,250.00,2025-01-01
